Date,Open,High,Low,Close,Volume
2024-04-01,3655.3,3688.69,3646.25,3673.17,1569676
2024-04-02,3648.08,3666.7,3632.14,3642.27,2142666
2024-04-03,3611.51,3733.42,3611.51,3701.82,3973090
2024-04-04,3728.64,3778.11,3690.52,3754.34,3394637
2024-04-05,3730.61,3753.12,3714.2,3731.78,1636819
2024-04-08,3735.3,3781.86,3713.73,3725.5,2302538
2024-04-09,3736.24,3766.11,3680.95,3701.12,1876992
2024-04-10,3710.35,3742.05,3674.34,3736.85,2101965
2024-04-12,3724.05,3763.76,3700.13,3752.56,4354821
2024-04-15,3752.56,3811.45,3675.33,3696.1,4200329
2024-04-16,3659.34,3684.38,3622.62,3631.95,3051420
2024-04-18,3635.7,3691.22,3610.57,3621.82,3476284
2024-04-19,3599.32,3612.96,3564.52,3588.25,2957749
2024-04-22,3598.38,3636.83,3574.93,3624.26,1728883
2024-04-23,3635.94,3652.77,3620.51,3633.74,1807586
2024-04-24,3648.08,3655.59,3586.61,3592.8,1317312
2024-04-25,3574.18,3632.75,3574.0,3612.63,2856271
2024-04-26,3615.4,3635.7,3566.07,3583.7,2039178
2024-04-29,3599.32,3636.64,3581.69,3629.51,1110693
2024-04-30,3631.2,3640.35,3573.06,3583.05,2203078
2024-05-02,3543.1,3630.36,3543.1,3623.04,2491044
2024-05-03,3648.22,3651.46,3561.43,3604.38,2962234
2024-05-06,3613.38,3694.93,3613.38,3677.2,2053831
2024-05-07,3686.35,3739.99,3670.12,3731.5,2062112
2024-05-08,3714.67,3736.52,3693.66,3729.63,1247685
2024-05-09,3715.61,3724.05,3666.89,3713.92,1726486
2024-05-10,3716.17,3726.48,3643.44,3651.74,1672489
2024-05-13,3642.93,3709.04,3629.33,3702.29,931326
2024-05-14,3691.22,3700.41,3650.8,3658.59,1058317
2024-05-15,3661.68,3682.74,3634.49,3639.08,1115021
2024-05-16,3675.64,3693.02,3630.67,3684.94,2599399
2024-05-17,3701.99,3702.94,3617.92,3621.79,2765804
2024-05-21,3618.49,3631.85,3599.08,3608.66,1908117
2024-05-22,3622.64,3628.55,3606.16,3619.81,1311168
2024-05-23,3628.26,3688.77,3613.67,3677.86,2095742
2024-05-24,3663.5,3668.74,3631.43,3636.34,1309452
2024-05-27,3641.54,3691.93,3628.64,3634.03,1841538
2024-05-28,3644.37,3655.71,3617.92,3627.27,1801993
2024-05-29,3635.77,3635.77,3589.58,3593.03,1568095
2024-05-30,3567.86,3584.29,3509.71,3529.22,2919230
2024-05-31,3532.9,3542.16,3451.43,3467.68,10956800
2024-06-03,3526.1,3543.81,3491.34,3497.81,2156773
2024-06-04,3495.12,3537.63,3392.63,3509.29,3395997
2024-06-05,3510.23,3574.28,3495.12,3539.0,2799670
2024-06-06,3571.63,3627.27,3534.32,3618.3,4328036
2024-06-07,3624.82,3698.21,3624.82,3678.33,4552445
2024-06-10,3679.32,3689.62,3629.16,3645.03,1734661
2024-06-11,3632.09,3665.1,3628.31,3638.8,1419898
2024-06-12,3659.86,3677.91,3615.51,3619.48,2177001
2024-06-13,3643.24,3674.6,3638.7,3663.4,1932323
2024-06-14,3673.65,3673.65,3616.03,3619.86,1860730
2024-06-18,3614.19,3629.26,3584.91,3603.85,1774045
2024-06-19,3615.7,3621.56,3582.92,3591.19,1509050
2024-06-20,3585.8,3598.98,3570.74,3577.54,2846526
2024-06-21,3615.09,3663.07,3587.74,3599.74,4642195
2024-06-24,3597.85,3643.43,3581.36,3605.45,1702154
2024-06-25,3605.64,3634.59,3582.88,3625.9,1338808
2024-06-26,3631.62,3652.82,3628.31,3642.34,1639845
2024-06-27,3618.87,3723.72,3606.68,3716.3,4526556
2024-06-28,3700.86,3740.72,3682.01,3687.96,2731571
2024-07-01,3668.93,3780.11,3668.93,3757.91,2658723
2024-07-02,3772.46,3800.61,3762.02,3794.94,2307449
2024-07-03,3797.4,3803.16,3736.0,3745.68,1821198
2024-07-04,3778.37,3823.24,3761.6,3798.3,2518001
2024-07-05,3787.95,3803.78,3767.17,3789.65,1668616
2024-07-08,3799.29,3808.03,3757.77,3772.08,1758882
2024-07-09,3764.34,3785.07,3754.99,3764.81,1305801
2024-07-10,3763.11,3781.62,3685.93,3692.69,2669716
2024-07-11,3713.33,3759.61,3679.89,3706.43,4872189
2024-07-12,3759.61,3967.39,3751.4,3952.27,13509164
2024-07-15,4001.16,4005.22,3926.86,3938.34,4848030
2024-07-16,3940.98,3962.29,3915.38,3947.08,2029521
2024-07-18,3929.65,4085.51,3929.65,4076.58,5613364
2024-07-19,4087.8,4126.96,4057.36,4073.6,3903354
2024-07-22,4071.28,4090.22,4038.19,4059.35,1896386
2024-07-23,4055.23,4129.75,4039.42,4073.56,2365208
2024-07-24,4059.5,4108.35,4041.13,4077.25,1809793
2024-07-25,4066.59,4112.04,4046.9,4092.63,2810342
2024-07-26,4118.67,4187.27,4106.41,4154.51,3552210
2024-07-29,4180.21,4195.36,4138.55,4148.12,1746803
2024-07-30,4157.59,4164.12,4097.18,4133.21,1797906
2024-07-31,4118.67,4179.27,4113.94,4152.14,2330091
2024-08-01,4165.44,4184.29,4132.92,4163.27,2202244
2024-08-02,4132.87,4164.12,4042.92,4055.28,2811282
2024-08-05,4013.57,4013.57,3891.91,3934.09,2787771
2024-08-06,3949.14,4031.8,3939.53,3949.38,2203067
2024-08-07,4003.16,4019.21,3957.99,3977.07,1237666
2024-08-08,3958.66,4006.95,3938.77,3950.66,2441283
2024-08-09,3992.74,4027.44,3981.9,4003.87,1302536
2024-08-12,4005.05,4013.57,3963.72,3972.53,936912
2024-08-13,3988.96,4008.84,3960.55,3973.76,1495593
2024-08-14,3985.17,4077.2,3965.43,4066.83,3226545
2024-08-16,4118.67,4191.58,4095.1,4181.21,3457058
2024-08-19,4185.89,4255.25,4156.87,4251.23,2055210
2024-08-20,4265.43,4322.24,4260.69,4282.75,2212298
2024-08-21,4277.74,4317.5,4253.64,4309.45,1896990
2024-08-22,4317.5,4318.4,4258.04,4262.59,1829872
2024-08-23,4260.69,4266.37,4218.09,4226.51,1809253
2024-08-26,4250.28,4310.07,4246.49,4263.01,1844164
2024-08-27,4265.43,4270.16,4248.2,4258.0,930697
2024-08-28,4259.51,4319.87,4220.26,4266.42,1848058
2024-08-29,4222.82,4313.72,4222.82,4271.87,2133641
2024-08-30,4260.69,4348.04,4249.14,4311.58,3637222
2024-09-02,4332.65,4344.01,4272.06,4280.62,1216500
2024-09-03,4280.62,4313.62,4256.81,4272.39,1717263
2024-09-04,4238.87,4248.39,4200.76,4241.05,1265505
2024-09-05,4242.7,4259.75,4217.28,4237.92,1688793
2024-09-06,4236.03,4278.64,4203.88,4219.74,1649179
2024-09-09,4218.09,4251.46,4194.89,4212.93,1184938
2024-09-10,4206.2,4298.52,4204.31,4268.13,1385591
2024-09-11,4281.0,4307.42,4233.47,4241.14,1325919
2024-09-12,4270.4,4291.56,4195.65,4277.45,2742216
2024-09-13,4289.1,4305.19,4265.43,4282.09,1458786
2024-09-16,4286.26,4304.3,4255.44,4273.24,1155120
2024-09-17,4273.24,4294.59,4228.5,4266.04,1699364
2024-09-18,4257.9,4257.9,4091.21,4115.03,2961779
2024-09-19,4156.59,4187.03,4054.1,4067.68,2927551
2024-09-20,4087.33,4100.4,4002.69,4057.03,5447908
2024-09-23,4071.33,4080.23,4026.83,4041.5,1702319
2024-09-24,4025.55,4062.81,4014.52,4044.16,3012026
2024-09-25,4026.21,4061.48,4014.52,4047.42,2713073
2024-09-26,4033.46,4087.24,4033.46,4064.23,3964251
2024-09-27,4104.47,4145.18,4071.38,4079.57,3012477
2024-09-30,4058.93,4070.15,4033.5,4041.5,2503416
2024-10-01,4029.24,4067.31,4017.31,4059.87,1823365
2024-10-03,4035.92,4051.45,3986.12,4007.66,3350119
2024-10-04,4000.32,4069.44,3999.42,4026.12,2965463
2024-10-07,4046.62,4068.73,4004.48,4045.62,1472619
2024-10-08,4045.39,4051.82,3980.39,4027.07,1541867
2024-10-09,4033.46,4066.6,4020.86,4026.78,1082504
2024-10-10,4027.07,4065.51,3975.32,4002.59,2378875
2024-10-11,3922.68,4016.37,3893.75,3928.55,5759183
2024-10-14,3919.84,3943.89,3902.99,3916.67,2137590
2024-10-15,3911.36,3948.2,3877.23,3897.87,2759474
2024-10-16,3867.76,3896.17,3850.91,3877.18,2359151
2024-10-17,3894.08,3910.32,3875.29,3890.49,2522659
2024-10-18,3881.94,3935.24,3872.45,3913.31,2361000
2024-10-21,3922.38,3929.35,3862.96,3872.31,1595450
2024-10-22,3859.17,3881.75,3802.55,3811.23,1928049
2024-10-23,3796.14,3904.3,3791.92,3859.4,1966476
2024-10-24,3800.32,3871.5,3800.32,3841.99,2676744
2024-10-25,3850.67,3883.84,3827.56,3851.15,1759676
2024-10-28,3861.97,3923.71,3844.93,3882.75,1532534
2024-10-29,3887.5,3894.76,3853.57,3867.94,1445885
2024-10-30,3867.71,3898.08,3853.52,3876.87,1935002
2024-10-31,3862.96,3870.84,3758.56,3766.58,3740372
2024-11-01,3786.89,3795.53,3773.79,3781.53,154895
2024-11-04,3764.54,3788.84,3714.19,3762.5,2269192
2024-11-05,3740.62,3783.23,3740.62,3769.33,967590
2024-11-06,3799.94,3938.7,3773.03,3929.07,3792017
2024-11-07,3957.59,3991.85,3877.25,3939.75,3724349
2024-11-08,3943.64,3957.64,3908.19,3936.05,1648039
2024-11-11,3918.2,4018.9,3908.19,3985.11,1406487
2024-11-12,4001.53,4003.43,3952.51,3983.88,1587640
2024-11-13,3965.56,3983.26,3920.91,3939.22,1098813
2024-11-14,3924.66,3948.38,3907.05,3935.0,1825432
2024-11-18,3998.69,3998.69,3787.22,3815.03,3313944
2024-11-19,3815.41,3921.95,3809.91,3834.06,1776233
2024-11-21,3839.14,3884.27,3819.3,3865.67,2384347
2024-11-22,3863.91,4038.5,3847.78,4028.68,3096553
2024-11-25,4062.28,4107.93,4035.89,4095.59,4052167
2024-11-26,4101.24,4144.48,4090.75,4131.28,2060669
2024-11-27,4137.21,4154.72,4104.09,4112.16,1558993
2024-11-28,4099.3,4119.18,4017.67,4028.97,2558544
2024-11-29,4005.33,4080.03,3982.22,4053.59,2017425
2024-12-02,4052.79,4070.06,4014.87,4059.1,1670944
2024-12-03,4094.88,4104.99,4048.47,4083.87,2010905
2024-12-04,4094.12,4163.79,4070.87,4132.9,3302642
2024-12-05,4176.93,4260.65,4138.21,4236.97,3746747
2024-12-06,4226.48,4237.87,4188.28,4219.36,1842087
2024-12-09,4205.08,4242.05,4190.93,4225.67,2066639
2024-12-10,4200.99,4265.2,4187.66,4207.07,2087828
2024-12-11,4206.4,4222.35,4182.82,4202.23,1635256
2024-12-12,4204.7,4256.85,4200.85,4228.33,1914642
2024-12-13,4209.35,4266.25,4170.86,4246.32,1967048
2024-12-16,4232.17,4247.36,4173.33,4190.6,1646224
2024-12-17,4185.67,4207.45,4098.35,4108.31,3225027
2024-12-18,4092.37,4140.11,4071.39,4126.68,1575404
2024-12-19,4064.18,4142.01,4045.2,4054.59,3015763
2024-12-20,4108.79,4159.09,3941.27,3958.16,4116989
2024-12-23,3986.4,4002.48,3905.58,3946.77,2195338
2024-12-24,3946.77,4003.43,3946.77,3966.89,1181886
2024-12-26,3966.89,3986.3,3932.39,3957.02,1208464
2024-12-27,3951.23,3968.27,3936.28,3952.99,858100
2024-12-30,3939.84,3985.68,3902.83,3947.24,1527169
